Category,Product Group,Product Name,Colour Name,Images Files,Folder Path,Price
Accessories,Cable Management Tray,Cable Management Tray,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Cable Management Tray,1999.0
Accessories,Cup Holder,Cup Holder,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Accessories/Cup Holder,999.0
Accessories,Desk Shelf Tray,Desk Shelf Tray,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Accessories/Desk Shelf Tray,3999.0
Accessories,Desk Side Organiser,Desk Side Organiser,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Desk Side Organiser,1999.0
Accessories,Footrest,Footrest,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Footrest/Ergonomic,1599.0
Accessories,Footrest,Footrest,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Footrest/Wooden/Wooden Teak,999.0
Accessories,Footrest,Footrest,Black Marble,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Footrest/Wooden/Black Marble,999.0
Accessories,Keyboard Tray,Keyboard Tray,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Accessories/Keyboard Tray,3899.0
Accessories,Peg-Board,Peg-Board,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Accessories/Peg-Board,3499.0
Chairs,Mesh Chairs,Neuro,Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg",Chairs/Mesh Chairs/Neuro,14999.0
Chairs,Mesh Chairs,Xyron,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Chairs/Mesh Chairs/Xyron/Black,18999.0
Chairs,Mesh Chairs,Xyron,White,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Chairs/Mesh Chairs/Xyron/White,18999.0
Chairs,Mesh Chairs,Zynx,Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Chairs/Mesh Chairs/Zynx,16999.0
Chairs,Performance Mesh Chairs,Casca,Black-Dark Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Chairs/Performance Mesh Chairs/Casca/Black-Dark Grey,14899.0
Chairs,Performance Mesh Chairs,Casca,White-light Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Chairs/Performance Mesh Chairs/Casca/White-light Grey,14899.0
