Handle,Category,Title,Variant SKU,Price (INR),HSN code,GST rate %,Country of origin,Boxed weight (kg),Box length (cm),Box width (cm),Box height (cm),Net weight (kg),Warranty (months),Max user weight (kg),Assembly required (Yes/No)
flexon-bed-table,Bed Table,Flexon Bed Table,table-bed-003,2999.00,,,,,,,,,,,
cable-tray-basic,Cable Tray,Cable Tray Basic,accessories-cable-tray-001,999.00,,,,,,,,,,,
cpu-stand-plus,CPU Stand,CPU Stand Plus,accessories-Cpu-Stand-002,1499.00,,,,,,,,,,,
cpu-stand-pro,CPU Stand,CPU Stand Pro,accessories-Cpu-Stand-003,1999.00,,,,,,,,,,,
cup-holder-basic,Cup Holder,Cup Holder Basic,accessories-cup-holder-001,999.00,,,,,,,,,,,
desk-hook-basic,Desk Hook,Desk Hook Basic,accessories-desk-hook-001,599.00,,,,,,,,,,,
desk-hook-plus,Desk Hook,Desk Hook Plus,accessories-desk-hook-002,999.00,,,,,,,,,,,
imperium-executive-table,Executive Table,Imperium Executive Table,table-executive-003,13999.00,,,,,,,,,,,
signature-executive-table,Executive Table,Signature Executive Table,table-executive-004,15999.00,,,,,,,,,,,
casca-fabric-chair,Fabric Chair,Casca Fabric Chair,chair-fabric-003,12999.00,,,,,,,,,,,
fabio-fabric-chair,Fabric Chair,Fabio Fabric Chair,chair-fabric-001,10999.00,,,,,,,,,,,
niyo-fabric-chair,Fabric Chair,Niyo Fabric Chair,chair-fabric-005,15999.00,,,,,,,,,,,
exquisite-primex-folding-table,Folding Table,Exquisite Primex Folding Table,table-folding-002,6999.00,,,,,,,,,,,
nextable-folding-table,Folding Table,Nextable Folding Table,table-folding-004,9999.00,,,,,,,,,,,
footrest-basic,Footrest,Footrest Basic,accessories-footrest-001,999.00,,,,,,,,,,,
footrest-plus,Footrest,Footrest Plus,accessories-footrest-002,1499.00,,,,,,,,,,,
quantum-gaming-desk,Gaming Desk,Quantum Gaming Desk,table-gaming-desk-001,9999.00,,,,,,,,,,,
quantum-primex-gaming-desk,Gaming Desk,Quantum Primex Gaming Desk,table-gaming-desk-002,11999.00,,,,,,,,,,,
modulus-primex-height-adjustable-table,Height-Adjustable Table,Modulus Primex Height Adjustable Table,table-height-adjustable-005,15999.00,,,,,,,,,,,
modura-height-adjustable-table,Height-Adjustable Table,Modura Height Adjustable Table,table-height-adjustable-002,8999.00,,,,,,,,,,,
modura-primex-height-adjustable-table,Height-Adjustable Table,Modura Primex Height Adjustable Table,table-height-adjustable-003,10999.00,,,,,,,,,,,
movix-height-adjustable-table,Height-Adjustable Table,Movix Height Adjustable Table,table-height-adjustable-006,19999.00,,,,,,,,,,,
nexor-leather-chair,Leather Chair,Nexor Leather Chair,chair-leather-003,13999.00,,,,,,,,,,,
rider-leather-chair,Leather Chair,Rider Leather Chair,chair-leather-002,12999.00,,,,,,,,,,,
valerio-leather-chair,Leather Chair,Valerio Leather Chair,chair-leather-005,15999.00,,,,,,,,,,,
neuro-mesh-chair,Mesh Chair,Neuro Mesh Chair,chair-mesh-004,13999.00,,,,,,,,,,,
xyron-mesh-chair,Mesh Chair,Xyron Mesh Chair,chair-mesh-006,17999.00,,,,,,,,,,,
zynx-mesh-chair,Mesh Chair,Zynx Mesh Chair,chair-mesh-005,15999.00,,,,,,,,,,,
monitor-stand-basic,Monitor Stand,Monitor Stand Basic,accessories-monitor-stand-001,999.00,,,,,,,,,,,
monitor-stand-pro-max,Monitor Stand,Monitor Stand Pro Max,accessories-monitor-stand-004,2999.00,,,,,,,,,,,
storage-box-plus,Storage Box,Storage Box Plus,accessories-storage-box-002,5999.00,,,,,,,,,,,
storage-box-pro-max,Storage Box,Storage Box Pro Max,accessories-storage-box-004,7999.00,,,,,,,,,,,
zenith-study-table,Study Table,Zenith Study Table,table-study-003,8499.00,,,,,,,,,,,
zenvy-primex-study-table,Study Table,Zenvy Primex Study Table,table-study-006,9999.00,,,,,,,,,,,
